Spielstätte,Ort,Titel,Anzahl,Komponist,Komponist_ber,Geburtsort,Geschlecht,Geburtsdatum,Geburtsjahr,Alter,Sterbedatum,Verstorben,Art,Bemerkung
Theater und Philharmoie Essen,Essen,La Bohème,2,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Madama Butterfly,5,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Theater Herford,Herford,Tosca,1,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,sonstiges,Premiere oder Wiederaufnahme?
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Tosca,8,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Tosca,3,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Theater Hagen,Hagen,Tosca,1,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Oper Köln,Köln,Tosca,4,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Turandot,10,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,premieren,
Oper Köln,Köln,Turandot,9,Giacomo Puccini,Giacomo Puccini,Lucca,männlich,1858-12-22 00:00:00+00:00,1858,161,1924,Tot,wiederaufnahmen,
Theater/Oper/Schauspiel Bonn,Bonn,Die Sache Makropolus,8,Leoš Janáček,Leoš Janáček,Hukvaldy,männlich,1854-07-03 00:00:00+00:00,1854,165,1928,Tot,premieren,
Theater Bielefeld,Bielefeld,Hänsel und Gretel,8,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,premieren,
Theater/Oper/Schauspiel Bonn,Bonn,Hänsel und Gretel,5,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Hänsel und Gretel,9,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,wiederaufnahmen,
Theater und Philharmoie Essen,Essen,Hänsel und Gretel,2,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,wiederaufnahmen,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Hänsel und Gretel,5,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,premieren,
Wuppertaler Bühnen,Wuppertal,Hänsel und Gretel,5,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,wiederaufnahmen,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Königskinder,8,Engelbert Humperdinck,Engelbert Humperdinck,Siegburg,männlich,1854-09-01 00:00:00+00:00,1854,165,1921,Tot,premieren,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Let´s Stop Brexit!,4,Arthur Sullivan,Arthur Sullivan,London,männlich,1842-05-13 00:00:00+00:00,1842,177,1900,Tot,premieren,
Theater und Philharmoie Essen,Essen,Rusalka,2,Antonín Dvořák,Antonín Dvořák,Nelahozeves,männlich,1841-09-08 00:00:00+00:00,1841,178,1904,Tot,wiederaufnahmen,
Theater Hagen,Hagen,Rusalka,10,Antonín Dvořák,Antonín Dvořák,Nelahozeves,männlich,1841-09-08 00:00:00+00:00,1841,178,1904,Tot,premieren,
Oper Köln,Köln,Rusalka,9,Antonín Dvořák,Antonín Dvořák,Nelahozeves,männlich,1841-09-08 00:00:00+00:00,1841,178,1904,Tot,premieren,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Eugen Onegin,9,Pjotr Iljitsch Tschaikowski,Pjotr Iljitsch Tschaikowski,Wotkinsk,männlich,1840-05-07 00:00:00+00:00,1840,179,1893,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Pique Dame,8,Pjotr Iljitsch Tschaikowski,Pjotr Iljitsch Tschaikowski,Wotkinsk,männlich,1840-05-07 00:00:00+00:00,1840,179,1893,Tot,premieren,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Boris Godunow,8,,Modest Mussorgskij,Karewo,männlich,,1839,180,1881,Tot,premieren,
Theater und Philharmoie Essen,Essen,Carmen,11,Georges Bizet,Georges Bizet,Rue de La Tour-d'Auvergne,männlich,1838-10-25 00:00:00+00:00,1838,181,1875,Tot,premieren,
