Spielstätte,Ort,Titel,Anzahl,Komponist,Komponist_ber,Geburtsort,Geschlecht,Geburtsdatum,Geburtsjahr,Alter,Sterbedatum,Verstorben,Art,Bemerkung
Deutsche Oper am Rhein,Düsseldorf/Duisburg,La Traviata,11,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,
Theater/Oper/Schauspiel Bonn,Bonn,Lohengrin,12,Richard Wagner,Richard Wagner,Leipzig,männlich,1813-05-22 00:00:00+00:00,1813,206,1883,Tot,premieren,
Theater und Philharmoie Essen,Essen,Luisa Miller,2,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,
Wuppertaler Bühnen,Wuppertal,Luisa Miller,6,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Nabucco,4,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Nabucco,7,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Nabucco,8,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Otello,5,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
Theater und Philharmoie Essen,Essen,Otello,8,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Otello,5,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,(Haus Düsseldorf)
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Rheingold,8,Richard Wagner,Richard Wagner,Leipzig,männlich,1813-05-22 00:00:00+00:00,1813,206,1883,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Rigoletto,3,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Siegfried,3,Richard Wagner,Richard Wagner,Leipzig,männlich,1813-05-22 00:00:00+00:00,1813,206,1883,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Siegfried,1,Richard Wagner,Richard Wagner,Leipzig,männlich,1813-05-22 00:00:00+00:00,1813,206,1883,Tot,wiederaufnahmen,Haus Düsseldorf
Theater Hagen,Hagen,Simon Boccanegra,10,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
Theater Hagen,Hagen,Tristan und Isolde,5,Richard Wagner,Richard Wagner,Leipzig,männlich,1813-05-22 00:00:00+00:00,1813,206,1883,Tot,premieren,
Theater Hagen,Hagen,Viva Verdi,10,Giuseppe Verdi,Giuseppe Verdi,Le Roncole,männlich,1813-10-10 00:00:00+00:00,1813,206,1901,Tot,premieren,
Theater Herford,Herford,Martha oder der Markt zu Richmond,1,Friedrich von Flotow,Friedrich von Flotow,Sanitz,männlich,1812-04-27 00:00:00+00:00,1812,207,1883,Tot,sonstiges,"Premiere oder Wiederaufnahme? Geburtsort in Wikipedia nicht genannt, Angabe ist jetzt Taufort"
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Hamlet,7,Ambroise Thomas,Ambroise Thomas,Metz,männlich,1811-08-05 00:00:00+00:00,1811,208,1896,Tot,premieren,
